,values,tweet_text
10,0,"b""New York's economy will reopen in phases, starting with these groups.  READ MORE: https://t.co/T6bOcGdmkX  #COVID19 #restart #Buffalo #NewYork #WNY"""
11,0,b'@NYGovCuomo unveiled his plan to slowly re-open #NewYork: it has several phases and may change depending on the public health impact. #AndrewCuomo #coronavirus #COVID19 https://t.co/7ozBLPhvxc'
12,-1,"b""MUST WATCH: Tearful Nurse Blows Whistle on #NewYork #Hospitals 'Murdering' #COVID19 Patients With 'Complete Medical Mismanagement'  https://t.co/rnO4LlSxic via @gatewaypundit"""
13,0,"b'Antibody tests in #NewYork show that #COVID19 has an infection rate of nearly 14%, indicating that 10 times more New Yorkers have contracted the virus than officially reported. https://t.co/wlyaopI4Be'"
14,0,b'Some prominent Buffalo faces will help Gov. Andrew Cuomo reopen New York.  READ MORE: https://t.co/oYXhzCmRiu  #COVID19 #restart #Buffalo #NewYork #WNY'
15,0,b'frontlines #COVID19 #coronavirus #nyc #newyork https://t.co/7qSHrmkGiq'
16,0,"b""It's 7:00 in NYC... #FirstResponders #HealthcareWorkers #EssentialWorkers #NewYork #NY #NYC #Manhattan #MurrayHill #KipsBay #Coronavirus #Covid19 #GroupTherapyNYC @CandisLai https://t.co/K0MgRv9DCc"""
17,-1,"b'Nurse in New York discloses gross negligence and medical mismanagement.  \xe2\x80\x9cThese people aren\xe2\x80\x99t dying from Covid.\xe2\x80\x9d  \xe2\x80\x9cNobody is listening. They don\xe2\x80\x99t care.\xe2\x80\x9d  ""They\'re murdering these people.""  https://t.co/prozUCuncI #nicolesirotek #newyork #covid19'"
18,0,b'What do we know about #COVID19 -19 infections and deaths among #Latinos ? - Looking #NewYork  #California \xe2\x81\xa6@HealthEquitySF\xe2\x81\xa9 \xe2\x81\xa6@cher_chicago\xe2\x81\xa9 Latino Decisions  https://t.co/3oJ4EKFoHr'
19,0,"b'#clapbecausewecare #clapbecausewecarenyc #essentialworkers #healthcareworkers #hospitalworkers #covid19 #covid_19 #coronavirus #chinavirus #chinaflu #newyork #newyorkcity #manhattan @ New York, New York https://t.co/0B3JhtMwHY'"
20,1,"b'Together alone  - on Saturday, May 9 look up to the #ESB where we mark #EuropeDay. This year we dedicate it all the frontline workers fighting #COVID19 pandemic in our host city of #NewYork https://t.co/FVmqaOYb92'"
21,0,b'\xf0\x9f\x95\x96  CLON CLON CLON CLON CLON CLON CLON   \xf0\x9f\x91\x8f \xf0\x9f\x91\x8f \xf0\x9f\x91\x8f \xf0\x9f\x91\x8f \xf0\x9f\x91\x8f \xf0\x9f\x91\x8f \xf0\x9f\x91\x8f \xf0\x9f\x91\x8f \xf0\x9f\x91\x8f \xf0\x9f\x91\x8f \xf0\x9f\x91\x8f \xf0\x9f\x91\x8f \xf0\x9f\x91\x8f \xf0\x9f\x91\x8f \xf0\x9f\x91\x8f \xf0\x9f\x91\x8f \xf0\x9f\x91\x8f \xf0\x9f\x91\x8f \xf0\x9f\x91\xa8\xe2\x80\x8d\xe2\x9a\x95\xef\xb8\x8f \xf0\x9f\x91\xa9\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x9a\x95\xef\xb8\x8f \xf0\x9f\x8f\xa5 \xf0\x9f\x9a\x91  #ClapForCarers #nyc #NewYork  #clapforNHS  #StayHomeSaveLives #SocialDistancing #COVID19 https://t.co/LVQqAadPNZ'
22,1,"b'This hospital is my area\xe2\x80\x99s hosptial and I want to help in any when it comes to funding protective equipment for their healthcare workers.   I\xe2\x80\x99m hoping to gain support and traction, so we may reach this.   #COVID19 #NewYork #HealthcareHeroes   https://t.co/U88uxbgTvo'"
23,0,b'#America #Coronavirus SARS-CoV-2 #Christ #Poland #USA  #NewYork #CoronaVirus #China #NewYorkCity #Chicago #COVID19Pandemic #NowyJork #Ameryka #virus #Fear #Gospel #health #Jesus #COVID19 #CCPVirus #COVID2019 #Bible #NYC #Polska\xf0\x9f\x91\x87 CORONAVIRUS: AND NOW WHAT? https://t.co/tzS95oB9Qw https://t.co/itKhqS1xKD'
24,0,"b""Check me out on #Instagram I've got some really great shots of my #deployment to #NewYork city as a part of the #Navy response to the #covid19 #pandemic and I'll be adding more over the coming days! \xf0\x9f\x93\xb8  https://t.co/HhSak1nDpK \xf0\x9f\x91\x88  #medtwitter #nursetwitter #covid #corona #virus"""
25,0,b'The wave of initial #unemployment claims is not slowing down as government and health officials continue to monitor the #coronavirus for signs of hope to restart business activity.  READ MORE: https://t.co/2CKcucP9Hs  #COVID19 #jobs #Buffalo #NewYork #WNY'
26,1,b'Volunteering with @TeamRubicon this week for food distribution ops in #Brooklyn #NewYork. Join the team &amp; get your grey shirt! Open to ALL! Go to https://t.co/IEcPGmB8Uk today &amp; sign up! \xe2\x9b\x91  #COVID19 #DisasterResponse #TeamRubicon #NYC https://t.co/xYWldPKYEP'
27,0,"b""83/   Time Zone:  - [ 05. Mai 2020' - CET  00:30 Uhr #EU + #Schweiz ]   - [ 04. May 2020'\xc2\xa0- GMT-4 6:15 p.m. #NewYork ]  [#CoronaVirus \xe2\x98\xa3\xef\xb8\x8f #COVID19]   #USA #Spain #Italy #UK #France #Germany #Russia #Turkey #Brazil  #WorldWide \xf0\x9f\x8c\x8f\xf0\x9f\x8c\x8e\xf0\x9f\x8c\x8d  \xe2\xac\x87\xef\xb8\x8f https://t.co/Z18KVY7Hc4 \xe2\x9e\xa1\xef\xb8\x8f via:@JHUSystems https://t.co/jFVUO7zN3g"""
28,0,"b""I post slides from @NYGovCuomo's briefings daily at https://t.co/Gk7LRh90Sf #cuomobriefing #COVID19 #NewYork"""
29,1,b'\xe2\x80\x9cIn honor of all the brave nurses. Now and forever.\xe2\x80\x9d \xe2\x81\xa3\xe2\x81\xa3 \xe2\x81\xa3\xe2\x81\xa3 #krucialstaffing #krucialkrew #krucialkommunity #thankful #thankshealthheroes #newyork #healnyc #healing #thankyou #appreciationpost #mural #montefior #bronx #thankyou #nowandforever #mondaymotivation #covid19 https://t.co/ItjraB3eu8'
30,0,b'#NewYork subway cars to be disinfected with ultraviolet lamps. #UltravioletLight #Light #Covid19 @realDonaldTrump @andrewcuomo @GavinNewsom @GovWhitmer @GovSisolak @GovofCO @OregonGovBrown @JayInslee @TomWolfPA https://t.co/FM9rzFq6l2'
31,-1,b'New York state wasted virus response resources by panicking https://t.co/udZvCX2Z48 via @LifeZette #NewYork #coronavirus #coronavirusupdates #covid19'
32,0,b'#newyorkcovid19 #covid19 #COVID\xe3\x83\xbc19 #whistleblower #nurse #lowincome #hospital #newyork #medicalerrors #mismanagement https://t.co/TUbRdV0lan  Retweet before it disappears again!'
33,0,"b'I\xe2\x80\x99m looking for some comparison shots of #NYC \xe2\x80\x94 showing empty streets &amp; landmarks, due to #COVID19 \xe2\x80\x94 to compare to some of my *crowd-specific* #NewYorkCity editorial photographs \xe2\x80\x94 https://t.co/VBAXlvLOBd - Any #NewYork or #EastCoast #photographers willing to #collaborate w/ me?'"
34,1,"b""Thank you @JornalNoticias for the opportunity to recognize the contribution of the #Portuguese #community in #NewYork's fight against #coronavirus. #Portugal #pandemic #COVID19 https://t.co/s9DJiRRQ7g"""
35,0,"b'Whoa. I know there are two sides to every story, and healthcare workers are likely exhausted, but this is a pretty damning video, New York. #COVID19 #NewYork https://t.co/mSVWAjS3wu'"
36,0,b'What a long line in New York City. People wait so long for soup. Source: Brad Lander  #COVID\xe3\x83\xbc19 #coronavirus #COVID19 #COVID #COVID2019 #COVID_19 #Corona #MayThe4th #MayTheFourth #NewYork #koronawirus #SARSCoV2 #lockdown #MayThe4thBeWithYou #mai https://t.co/vADe5FdwcJ'
37,0,"b'Through the pandemic, @BfloBizFirst is following six local small businesses as they cope with the trials and tribulations of #COVID19.  READ MORE: https://t.co/nognXLoZLf  #smallbusiness #SMB #Buffalo #NewYork #WNY'"
38,-1,"b'@SenSchumer What have you done to help Americans recover from #COVID19? What have you done for #NewYork? You\xe2\x80\x99re a useless, crocodile tears crying fraud along with the rest of your #NY #Democrat colleagues. Thank God for President Trump and the Senate Republicans for helping us and all #USA.'"
39,0,b'Ongoing public health and #coronavirus concerns plus shifting work habits will slow #MTA\xe2\x80\x99s ridership recovery over the next year and beyond #COVID19 #muniland #LIRR #MetroNorth #NewYork #NYC #NYSubway #masstransit #infrastructure https://t.co/58Cdhc7dPW https://t.co/dBrZtYt7rc'
40,0,"b""Couple host 'pants optional' wedding on Zoom amid lockdown.. #Zoom #Wedding #Lockdown #NewYork #Coronavirus #CoronavirusPandemic  #Covid_19 #Pandemic #COVID #COVID19 #COVID2019 #COVID\xe3\x83\xbc19 https://t.co/UQDksBxSM7"""
41,0,"b'After #coronavirus pandemic ends, #MTA\xe2\x80\x99s revenue recovery will be gradual and leave large multi-year budget gaps #COVID19 #muniland #LIRR #MetroNorth #NewYork #NYC #NYSubway https://t.co/7X8KCp1sUz https://t.co/EOCzinjY6L'"
42,1,b'\xef\xbc\x9c=(\xe2\xac\xa4\xe2\x80\xbf\xe2\xac\xa4)=\xef\xbc\x9e For all those working in the #longtermcare industry who are fighting #covid19 while providing care and support for our #NewYork seniors ...   \xf0\x9d\x97\xa0\xf0\x9d\x97\x94\xf0\x9d\x97\xac \xf0\x9d\x97\xa7\xf0\x9d\x97\x9b\xf0\x9d\x97\x98 \xf0\x9d\x9f\xb0\xf0\x9d\x97\xa7\xf0\x9d\x97\x9b (force) \xf0\x9d\x97\x95\xf0\x9d\x97\x98 \xf0\x9d\x97\xaa\xf0\x9d\x97\x9c\xf0\x9d\x97\xa7\xf0\x9d\x97\x9b \xf0\x9d\x97\xac\xf0\x9d\x97\xa2\xf0\x9d\x97\xa8!  #LTCHeroes #SeniorCare https://t.co/RpsCkhEQFa'
43,1,"b'ICYMI: There might indeed be a light at the end of the tunnel in the #NewYork Tri-State area, specifically with boatyards and marinas. https://t.co/qOvbTY195X #boating #covid19 #coronavirus'"
44,0,"b'Managing #GU #cancer care during the #COVID19 in #NewYork. Charles Drake, MD, PhD @ColumbiaMed joins @CaPsurvivorship @NUFeinbergMed to discuss how him and his team have been influenced by the #pandemic @nyphospital. #ListenNow on UroToday &gt; https://t.co/WuGLeFh6q9 https://t.co/2eTbzMuAR0'"
45,0,b'New York reports lowest increase in daily infections since pandemic began https://t.co/4TkFVvbjAh #NewYork #COVID19 #coronavirus #cuomobriefing https://t.co/rysJ3yx0T9'
46,0,"b'In midst of #COVID19, #NewYork subways were shuttling 5 million passengers a day.  Trains were NOT disinfected after each run.  Scheduled later reduced packing more passengers in fewer cars, spreading virus.  #Cuomo made that decision not #Trump.    #CuomoHasBloodOnHisHanda'"
47,0,b'New COVID-19 Xmas ornament or just a smart shrub? You decide!   #protectyourself #covid19 #covid #mask #ornament #shrub #queens #queensny #newyork #smartshrub #gottalaugh #wewillgetthroughthis #weareallinthistogether\xe2\x80\xa6 https://t.co/xLIj1GsHPf'
48,-1,"b""Tearful Nurse Blows Whistle on #NewYork #Hospitals 'Murdering' #COVID19 Patients With 'Complete Medical Mismanagement' https://t.co/an01DkKvBj #coronavirus"""
49,0,"b""WATCH: Senate leaders @ChuckGrassley of #Iowa, #Kentucky's @senatemajldr and #NewYork's @SenSchumer speak out for #coronavirus frontline workers, sentiments about meeting amid #COVID19 https://t.co/s6ImfB2Jhw"""
50,0,b'Bankers in Buffalo have been incredibly busy the past few weeks dealing with the onslaught of business related to the #COVID19 pandemic.  READ MORE: https://t.co/lJrbjnpGCF  #banking #loans #PPP #Buffalo #NewYork #WNY'
51,0,"b'Confirmed cases and deaths in N.Y. County are down each of the last 3 weeks, yet still 16k confirmed cases and 1,600+ deaths this week  How do you fix this without separating the sick from the healthy as nothing else worked in Wuhan?   #COVID #COVID19 #CORONAVIRUS #NEWYORK https://t.co/WlZBulPFuA'"
52,0,b'We cannot treat New York County like any other county  N.Y. County COVID-19 stats:  ~19k deaths ~28% of all US deaths ~15% of all US confirmed cases 10.9% death rate 1.6% of N.Y. State has tested positive and 55% of these are in N.Y. County  #COVID #COVID19 #CORONAVIRUS #NEWYORK https://t.co/4t4WRxiIMz'
53,1,b'A nurse working on the front line of the coronavirus pandemic in New York City received a handwritten note from her idol Taylor Swift. https://t.co/mRDs8V0zJz via @HuffPostEnt #TaylorSwift #COVID19 #Coronavirus #NewYork'
54,0,"b""New York's economy will reopen in phases, starting with these groups.  #COVID19 #restart #Buffalo #NewYork #WNY https://t.co/ZTkaRQ9i3B"""
55,0,"b'#Coronavirus update on #May4th for #NewYork, #Ohio, and #Pennsylvania. #newyorkcoronavirus #COVID19 #CoronavirusFacts https://t.co/cL7viibB1Q'"
56,0,"b'Safe N Steady Homecare can help.  We have amazing licensed and certified Caregivers available and ready to help keep you stay healthy and safe, and best of all, at home.  #homecarepalmbeach #inhomecare #homecare #florida  #palmbeach #nurseregistry #newyork  #covid19 #safeathome https://t.co/qMc3uErYRe'"
57,0,"b'#NY Gov. #Cuomo Says Based on #Guidelines, No Region in State Has Met Metrics/Cleared to #Reopen #Businesses Yet.  @TWLINews Via @nytimes #NewYork #LongIsland #NassauCounty #Nassau #Suffolk #SuffolkCounty #NYC #Queens #Buffalo #SmallBusiness #Business #Reopening #COVID19 #NY #LI https://t.co/3EOSQqko5V https://t.co/t5BvBO2edN'"
58,0,"b'#Repost gatewaypundit A Nevada #nurse who travelled to #NewYork to help treat #COVID19 patients has posted a tearful Facebook Live video claiming that patients are not #dying from the #virus, but are being #murdered\xe2\x80\xa6 https://t.co/QBIiFf46Oz'"
59,0,"b""Investigation needed @TheJusticeDept @NYCMayor @NYGovCuomo @POTUS @realDonaldTrump @NewYorkStateAG  MUST WATCH: Tearful Nurse Blows Whistle on #NewYork #Hospitals 'Murdering' #COVID19 Patients With 'Complete Medical Mismanagement' https://t.co/CYCLu5GqZz #CoronaVirus"""
60,0,b'Did you miss this? @NewYorkISO will stop sequestering the operations teams at one of its two #control centers even as the #COVID19 #pandemic continues to reduce demand for #electric power throughout #NewYork. https://t.co/zcL3V6dVP8 by @michaelkuser #NEWS #energynews #rto'
61,0,"b""Couple host 'pants optional' wedding on Zoom amid lockdown. #Zoom #Wedding #Lockdown #NewYork #Coronavirus #CoronavirusPandemic  #Covid_19 #Pandemic #COVID #COVID19 #COVID2019 #COVID\xe3\x83\xbc19 https://t.co/UQDksBxSM7"""
62,-1,"b""Hey @NYGovCuomo, why not let Barbershops open up?  Set up some guidelines and LET THESE PEOPLE WORK!!! They're all licensed and #NYS knows who they are.  Let them open and monitor them!! Start with #barbershops. #COVID19 #COVID\xe3\x83\xbc19 #BacktoWorkAmerica #NewYork #NEWS"""
63,0,"b""Gov #Cuomo Says #NY Will Gradually #Reopen Some #NY Region's Businesses Following Meeting #CDC Guidelines Re: Key #COVID19 Metrics  @903whpc Via @CapitalTonight  #NewYork #LongIsland #NassauCounty #SuffolkCounty #LI #NYC #SmallBusiness #Reopening #StaySafe #Queens @LIBusinessNews https://t.co/3MeUl4iG1q https://t.co/wj2l1jmiDN"""
64,0,"b'Local bank executives have been facing investors during a perilous time these past few weeks, as the quarterly earnings season churns out real-time evidence of financial damage wrought by #COVID19.  READ MORE: https://t.co/Il6y1OZtHG  #banking #Buffalo #NewYork #WNY'"
65,1,"b'@NYGovCuomo Great response by the Governor when asked about #coronavirus mortality ""overwhelming majority of people don\'t die, that\'s fine, unless you\'re one of the people who dies"". Well said!!  #NewYork #NewYorkTough #NYStrong @melissadderosa #COVID\xe3\x83\xbc19 #COVID19'"
66,0,b'Two regional industrial development agencies have crafted specialized programs to aid businesses impacted by #COVID19.  READ MORE: https://t.co/XvrwIN5tLr  #development #Buffalo #NewYork #WNY'
67,0,b'LET ELITE HELP YOUR BUSINESS GET BACK TO BUSINESS !  #COVID19 #coronavirus #NYC #NewYork #Greencleaning #CleanbyElite #EliteServiceGroup #cleaningservices https://t.co/X063ECs427'
68,0,b'The nurse tells about the situation in hospitals: https://t.co/vzyffBBmcZ #COVID\xe3\x83\xbc19 #Covid_19 #COVID19 #coronavirus #London #NewYork #Moscow #Europe #USA'
69,0,"b'#COVID19 Has Now Killed 19,415+ People in #NewYork  #NY Lost 226 Lives Yesterday #LongIsland Has Now Lost 3,065+ People Total #NassauCounty 1792 #SuffolkCounty 1273 #US 1.1 Million #Cases/68,000+ Deaths  Via @bern_hogan/#Cuomo/@HealthNYGov/@CDCgov #NuevaYork #NYC #Nassau #Suffolk https://t.co/OlLb51p8bM https://t.co/qPTmAbdJy9'"
70,0,b'#NewYork is both 1) the state where #Latinos have been most likely to die of #COVID19 AND 2) the only state where the #Latino death rate exceeds the overall rate: https://t.co/Ik4Of84PPA  @wnyc @NYGovCuomo @nytimes https://t.co/vhTtdZnKKz'
71,-1,b'Nurse in new york ... suggests intentional killing of patients https://t.co/Gba5BNntw3 #COVID19 #COVID\xe3\x83\xbc19 #NewYork #Watchandshare'
72,0,"b'Even with decline of new cases in #NewYork and tri-state area, total number of #COVID19 cases continues to increase in the #US and in the face of this, states want to reopen.  How do you spell stupid? https://t.co/tBH4IXxERz'"
73,0,"b'#COVID19 #Coronavirus #US\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #Today @HopkinsMedicine  US cases: 1,157,875 US deaths: 67,677 NY cases: 316,415 NY deaths: 24,708 #NewYork is the hotspot, other states are badly hit: #NewJersey (7,871) and #Michigan (4,053)  Mass (4,004) have had the next most deaths. https://t.co/eW8YByaFxp'"
74,-1,"b""Burials of #Covid19 victims in #NewYork. Many of the bodies are sent back to there home countries from #America. In #SriLanka they don't permit burials for racist reasons.  https://t.co/13ljGXH0ib"""
75,1,"b'#CuomoForPresident rulez! Again a great, smart press conference. #COVID19 #NewYork'"
76,-1,"b""Watch a #NURSE in #NEWYORK treating #COVID19 talk about how they're #MURDER ing #Minorities   WHAT. THE. F*U@%  https://t.co/LScSC3KZ15"""
77,0,b'Governor Andrew Cuomo is live with updates on the #Coronavirus / #COVID19 situation in #NewYork. https://t.co/Q0hNSisxVs'
78,0,"b'Now that #NewYork has been hit hard by #COVID19, restaurant owners are struggling to keep their #businesses alive.  Take a look at these photos of #NYC #restaurants during their ultimate fight: https://t.co/J80KZhgR81  How have you shown support to #LocalRestaurants?'"
79,1,"b'.@NYGovCuomo said \xe2\x80\x9c100,000 fewer New Yorkers were hospitalized than predicted,\xe2\x80\x9d and ""we literally saved lives"" during his daily briefing today. Some appreciated positives to start the week and hope everyone stays strong and stays safe! #COVID19 #SocialDistancing #NewYork'"
80,-1,"b""@SenSchumer @SenateDems I know it's hard to believe this; but it's the state's responsibility to get this done.  Or, may be you don't trust @NYGovCuomo is capable to get the job done? Seems like you have some fear or concern there.  #ChuckSchumer #AndrewCuomo #NewYork #COVID19"""
81,0,b'@TheJusticeDept #AskAGBarr will you investigate #newyork #morganstanleychildrenshospital for cancelling chronic treatments? &amp; surgeries for child &amp; adult patients who refuse a #COVID19 test? Violations of civil rights. No law to require.  https://t.co/RFBZnsfCO0 https://t.co/vLE3OdyZVq'
82,0,"b'New York has the most virus cases in the nation.  2 weeks ago their virus positive numbers were 247,512.  Now their virus numbers are 316,415. That\xe2\x80\x99s 68,903 new positives and 4,842 deaths in 2 weeks.  They are not even close to opening up. #COVID19 #NewYork https://t.co/BeHPbmOQeW'"
83,0,b'Currently no region in NYS meets the requirements to reopen safely according to the metrics tracked in this spreadsheet/graphic. #newyork #covid19 https://t.co/WWpY4oirCP'
84,0,b'#BREAKING #Exclusive: Internal Chinese report warns Beijing faces Tiananmen-like global backlash over virus. |    \xe2\x81\xa6@redhorseus\xe2\x81\xa9  #REDNews #WorldNews #USNews #China #BEIJING #Wuhan #COVID19 #CoronaLockdown #coronavirus #NewYork  https://t.co/CRHoQkPdn0'
85,0,"b'Gov. #AndrewCuomo reported on Monday that 226 more people in #NewYork State had died of the #coronavirus \xe2\x80\x94 the lowest one-day figure since March 28 &amp; down more than 70% from early April, when nearly 800 people per day were dying of the virus. https://t.co/BbAF3SiWaR #COVID19 #NYC'"
86,1,b'The #NewYork #NationalGuard delivers 4.5 million meals and half million test kits in 62 days of #COVID19 response! \xe2\x80\xa6 https://t.co/Wqa3W0fyDf'
87,0,"b'For nearly 150 years, @CHQ has welcomed visitors and residents to the lakeside campus for seminars, workshops, concerts and political discussions. That ends this summer, another victim of #COVID19.  READ MORE: https://t.co/SAYJ4tL78O  #nonprofits #Buffalo #NewYork #WNY'"
88,0,"b'#montauk #newyork #socialdistancing #mtk #thend also #newbeginning #worldreset #covid19 @ Montauk, New York https://t.co/1GnkQ5Aibc'"
89,-1,b'Endless queues of people waiting for a soup due to the disastrous economic situation in #NewYork.  #USA #COVID19 #coronavirus https://t.co/qSrCqSkWt1'
90,0,b'#NewYork is hiring a number of contract tracers. Learn more: https://t.co/12eHAgo1As #COVID19 #Employment #ContactTracing'
91,0,"b""ICYMI: @CornellMPH's Dr. Isaac Weisfuse urges a level of caution when drawing conclusions from #NewYork's #COVID19 antibody tests so far. #coronavirus #NY @kschach @MharringtonNews @Newsday https://t.co/cbfYLxcN3c"""
92,0,b'Let\xe2\x80\x99s cut to the chase. #COVID19 #NewYork #Cuomo https://t.co/CzqWb3LHef'
93,0,b'Listen to #Fauci #COVID19 #NewYork #Cuomo https://t.co/Pse3YpJHxo'
94,0,"b'Total of 226 new #COVID19 deaths in #NewYork state for Sunday, compared to 280 the previous day, announces @NYGovCuomo.'"
95,1,"b'This is an inspired gesture by my friend @NatanSharansky, who donated his $1M #GenesisPrize to nonprofits in #Israel &amp; #NewYork to help those who are suffering from #COVID19. Thank you, Natan, for your leadership and generosity. https://t.co/gfN4Z0S7a8'"
96,-1,"b""@nypost i don't blame her.  New York State deaths = 19,000 New York State population = 18 million  Germany's deaths = 9K Germany's population = 83 million   Why are the German's winning the fight against #Covid19 #CoronaVirus and the #USA is NOT? ? ? #NewYork #AndrewCuomo @NYGovCuomo \xf0\x9f\x91\x8e"""
97,1,b'Good things can happen to you  link: https://t.co/3oHIgl5N1t #musician #NewYork #PROMO #edm #dancemusic #COVID19 #MondayMotivation #mondaythoughts #MondayMood https://t.co/UXHborG2jf'
98,0,b'via @NYTimes \xe2\x80\x9cthe neighborhoods of Corona and North Corona in her district \xe2\x80\x94 the names are an eerie coincidence\xe2\x80\x9d #covid19 #newyork https://t.co/tuRUgEvyJo'
99,0,b'#Cuomo #briefing #COVID19 #NewYork new week https://t.co/nNDJGBw1v3'
100,0,b'COVID-19 Treatments: tPA - A Clot Busting Drug Used In Strokes Could Be Repurposed As Part Of COVID-19 Treatment Protocol..https://t.co/xBcOIT1qBk  #COVID\xe3\x83\xbc19 #COVID19 #USA #America #UK #UnitedKingdom #London #NewYork #New #Newsnight #virus #Lockdown2 #Spain #Japan #Singapore https://t.co/T0vHbhIAB8'
101,-1,"b'#covid19newyork: @NYGovCuomo #NewYork #Covid19Deaths exceed 24K, which is 1,000 more than the soldiers who died in #Antietam battle. #FakeNews likes to compare USA death totals to #Vietnam. Why not Civil War?@jakeTapper @wolfblitzer @NicolleDWallace  @realDonaldTrump #Covid19 https://t.co/SpI5tzKKBA'"
102,0,b'Becker Shareholder Glenn Spiegel appeared on CGTN TV to discuss how retailers are handling the fall out from #COVID19. Watch the clip: https://t.co/G5zBtCTfQj #BeckerNorth #NewYork #Retail #litigation'
103,0,"b""Couple host 'pants optional' wedding on Zoom amid lockdown #Zoom #Wedding #Lockdown #NewYork #Coronavirus #CoronavirusPandemic  #Covid_19 #Pandemic #COVID #COVID19 #COVID2019 #COVID\xe3\x83\xbc19 https://t.co/UQDksBPtDF"""
104,0,"b'Quality Services for the Autism Community is one of hundreds of nonprofits in #NY that received support from the N.Y.C. Covid-19 Response and Impact Fund, established by @NYCommTrust and roughly 20 other donors in March. #Covid19 #NewYork #CovidRelief  https://t.co/SxusJC56Gc'"
105,0,b'Bankers in Buffalo have been incredibly busy the past few weeks dealing with the onslaught of business related to the #COVID19 pandemic.  #banking #loans #PPP #Buffalo #NewYork #WNY https://t.co/ndyAPbw48a'
106,0,b'US airline stocks tumble after Buffett sells whole stakes - https://t.co/KWGlQ0lf6E #Airline #business #USA #UnitedStates #media #Newsnight #Trends #NewYork #California #chicagoIL #365dayss #China #COVID\xe3\x83\xbc19 #pandemic #COVID19 #coronavirus https://t.co/0Cj5g0mipm'
107,0,"b'\xe2\x9e\xa1\xef\xb8\x8f Northeastern states assemble to acquire medical supplies   https://t.co/hR9To37TB7,   #AndrewCuomo #Coronavirus #COVID19 #NewYork #NuevaYork #UnitedStates https://t.co/mtSCYyXeqD'"
108,0,"b'After more than a month of watching workers do their jobs remotely, landlords and companies have begun to plan on gradually seeing employees make their way back into the office.  READ MORE: https://t.co/BYo6yPO3zH  #COVID19 #returntowork #Buffalo #NewYork #WNY'"
109,-1,b'Muslim funeral home in #NewYork conducting fifteen burials a day.  #COVID19   #\xd8\xa7\xd9\x84\xd9\x85\xd8\xb7\xd8\xb9\xd9\x88\xd9\x86_\xd8\xb4\xd9\x87\xd9\x8a\xd8\xaf  https://t.co/xnj5gYVaSw'
110,0,b'How Pandemic Situation Made me think my life. #liqour #pandemic #COVID\xe3\x83\xbc19 #COVID19 #coronavirus #Corona #NewYork #career #lifestyle #business #invest #California #IndiaFightsCoronavirus #Martechlive #Newsnight #Trending #media #Entertainment https://t.co/bUHYAVEsJH'
111,0,b'@NBCNewYork Working sick? Genial! #coronavirus #COVID19 #NewYork @NYCMayor @NYGovCuomo'
112,0,"b""Couple host 'pants optional' wedding on Zoom amid lockdown #Zoom #Wedding #Lockdown #NewYork #Coronavirus #CoronavirusPandemic  #Covid_19 #Pandemic #COVID #COVID19 #COVID2019 #COVID\xe3\x83\xbc19 https://t.co/AGoJ2B7P9g"""
